mode	category	task_name	policy	task_progress
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	mtonly_50m	0.057026
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	mtonly_75m	0.153465
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	general_100m	0.001492
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	general_200m	0.002964
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	general_300m	0.002210
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	general_400m	0.004070
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	mtonly_100m	0.002934
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	mtonly_25m	0.001160
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	mtonly_50m	0.000738
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	mtonly_75m	0.003280
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	general_100m	0.140131
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	general_200m	0.196493
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	general_300m	0.171160
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	general_400m	0.203237
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	mtonly_100m	0.172212
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	mtonly_25m	0.109404
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	mtonly_50m	0.112191
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	mtonly_75m	0.140926
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	general_100m	0.002916
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	general_200m	0.002571
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	general_300m	0.006044
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	general_400m	0.007399
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	mtonly_100m	0.007350
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	mtonly_25m	0.001851
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	mtonly_50m	0.001936
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	mtonly_75m	0.001485
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	general_100m	0.392312
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	general_200m	0.471234
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	general_300m	0.449003
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	general_400m	0.548228
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.438225
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.390502
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.340672
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.401074
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	general_100m	0.003574
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	general_200m	0.007810
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	general_300m	0.006990
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	general_400m	0.011494
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.008097
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.005626
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.007584
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	general_100m	0.257859
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	general_200m	0.232279
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	general_300m	0.274506
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	general_400m	0.253960
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	mtonly_100m	0.283504
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	mtonly_25m	0.191864
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	mtonly_50m	0.264894
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	mtonly_75m	0.267126
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	general_100m	0.007413
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	general_200m	0.014575
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	general_300m	0.008195
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	general_400m	0.010768
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	mtonly_100m	0.019562
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	mtonly_25m	0.008799
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	mtonly_50m	0.015245
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	mtonly_75m	0.011380
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	general_100m	0.389611
